Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-02-20,Bitcoin,47496.54,18437.75,5289.11
2023-02-20,Ethereum,24198.46,16069.29,1616.05
2023-02-20,Ripple,33422.39,35776.71,3874.82
2023-02-20,Litecoin,53241.76,29623.94,6704.89
2023-02-21,Bitcoin,32222.64,43530.21,4738.42
2023-02-21,Ethereum,46199.27,53136.48,1827.87
2023-02-21,Ripple,38160.09,21287.63,4754.41
2023-02-21,Litecoin,38360.42,56818.12,8329.54
2023-02-22,Bitcoin,50689.66,44195.21,9734.7
2023-02-22,Ethereum,50032.4,23077.43,1050.92
2023-02-22,Ripple,11024.49,17477.26,4137.89
2023-02-22,Litecoin,39725.8,16687.55,6588.36
2023-02-23,Bitcoin,58607.83,33465.68,9209.98
2023-02-23,Ethereum,27283.24,27411.98,6334.37
2023-02-23,Ripple,53788.27,59985.47,9893.68
2023-02-23,Litecoin,17075.85,11770.19,3138.48
2023-02-24,Bitcoin,18701.38,9661.21,5406.22
2023-02-24,Ethereum,20019.55,57360.0,7637.79
2023-02-24,Ripple,34990.24,41020.73,5517.79
2023-02-24,Litecoin,59388.95,8541.05,4987.1
2023-02-25,Bitcoin,26030.02,9788.11,5253.07
2023-02-25,Ethereum,8816.2,16392.13,3292.41
2023-02-25,Ripple,13258.41,18663.17,6354.09
2023-02-25,Litecoin,31345.82,30154.33,8193.08
2023-02-26,Bitcoin,21715.98,7997.48,6727.18
2023-02-26,Ethereum,49723.78,10549.59,4134.03
2023-02-26,Ripple,31853.91,43024.66,8957.8
2023-02-26,Litecoin,13456.72,39110.14,4215.92
2023-02-27,Bitcoin,49953.52,24213.6,7413.55
2023-02-27,Ethereum,27589.5,54202.88,3714.84
2023-02-27,Ripple,14998.52,5597.04,3829.18
2023-02-27,Litecoin,54028.12,17745.87,2600.84
2023-02-28,Bitcoin,54584.7,38064.9,6429.83
2023-02-28,Ethereum,53173.03,43627.99,2686.33
2023-02-28,Ripple,51110.24,17401.56,8805.36
